MASTERID,STRATUM,WT_A,income,logincome,region,numadults,numchildren,age,female,medicaid,insured,ownhome,educcat,racecat
20516208H,44,44.47911072,7300,8.895766604,M,1,0,56,1,0,1,1,3,1
20518768L,29,34.48270416,12564,9.43867045,R,1,0,55,1,1,1,0,7,1
20524737A,68,36.73089218,36000,10.491302,A,1,0,66,0,1,1,1,3,1
20529002H,13,504.5932922,31000,10.34177474,A,1,2,30,0,0,1,1,4,1
20530248A,99,28.49660873,12000,9.392745259,M,1,0,75,1,0,1,1,4,2
20531304C,68,39.97089768,6876,8.835937789,A,1,0,49,1,1,1,0,4,1
20534306J,75,130.4953766,0,0,R,1,0,20,0,0,0,0,4,1
20534651F,4,118.7526474,95000,11.4616427,R,2,0,56,0,0,1,1,6,1
20537090F,6,100.7248764,120000,11.69525536,S,2,3,40,1,0,1,1,7,1
20537418K,71,37.24168396,,,M,2,0,76,0,1,1,1,8,1
20537653Z,88,137.5245361,9000,9.105090961,M,1,0,59,0,0,1,0,4,1
20543663B,94,32.15761566,35000,10.46313191,M,1,2,52,1,0,1,1,5,2
20544880J,51,173.7627106,45000,10.71443999,S,2,0,74,1,0,1,1,4,1
20544925L,98,66.44750977,32000,10.37352243,M,1,0,47,0,0,0,1,4,1
20548614F,39,93.96578217,92000,11.42955473,R,2,2,46,1,0,1,1,4,1
20549180L,63,185.0404358,19000,9.852246888,R,2,0,68,1,0,1,1,3,1
20551866L,87,20.18497086,30000,10.30898599,M,1,0,73,1,0,1,1,6,2
20554404F,92,280.3539734,80000,11.28979441,M,3,1,46,1,0,1,1,8,1
20554629B,82,14.21184921,35000,10.46313191,R,2,0,68,1,0,1,1,7,3
20556403J,87,145.9399262,37000,10.51870022,M,2,1,47,1,0,0,0,5,1
20556593L,15,91.67928314,35000,10.46313191,A,2,0,61,1,0,1,1,5,1
20559541X,85,144.0397186,,,S,1,0,56,1,0,1,0,2,2
20560978G,83,208.5758362,8000,8.987321813,M,1,0,45,1,1,1,0,6,1
20562207H,62,367.7591248,,,S,2,0,52,1,0,1,1,7,1
20562319K,84,142.563858,16800,9.729193687,M,1,1,47,1,0,1,1,4,2
20562899L,46,30.69605637,,,M,1,0,49,0,0,1,1,5,1
20564677J,6,75.88343811,21800,9.989711119,S,1,0,62,0,0,1,0,7,1
20564712L,83,133.3421478,86000,11.3621142,M,1,0,76,1,0,1,1,8,1
20567901H,23,22.20068932,30000,10.30898599,R,1,0,71,1,0,1,1,4,1
20567971G,84,13.34950161,70000,11.15626481,M,1,0,65,0,1,1,1,5,1
20580450H,32,31.32482529,15000,9.615872145,R,2,1,51,1,0,1,1,4,1
20581384E,94,34.24644852,20000,9.903537551,M,1,1,33,1,0,0,0,4,2
20582280G,89,128.3137054,,,M,2,0,64,1,0,1,1,5,1
20587955J,54,38.95053101,3600,8.188966864,R,2,0,75,1,0,1,1,4,1
20588862L,2,38.91783142,50000,10.81979828,M,2,0,76,0,1,1,1,5,1
20589014B,20,268.5124512,45000,10.71443999,S,2,0,74,0,0,1,0,5,1
20590674J,102,101.2527771,90000,11.40757606,M,2,0,73,0,0,1,1,8,4
20590909A,23,44.40137863,,,R,2,0,69,1,0,1,1,4,1
20595094C,103,301.3703919,,,M,3,0,55,1,0,1,1,8,2
20596799E,27,190.2995911,55000,10.91510665,S,2,1,58,0,0,1,1,4,1
20597157K,71,378.7401733,,,M,2,0,56,1,0,1,1,3,1
20599592E,33,9.481847763,20000,9.903537551,A,1,0,77,1,0,1,1,4,1
20599631J,3,43.34927368,36000,10.491302,R,1,2,42,1,0,1,0,7,1
20601367B,17,52.02066422,7884,8.972717499,R,1,0,40,1,1,1,0,4,2
20602110A,16,44.52761459,,,A,2,0,56,1,0,1,1,4,1
20604237A,96,255.4217072,24000,10.08585078,M,1,0,73,1,0,1,1,4,1
20607721L,35,40.84440613,12000,9.392745259,A,2,0,62,1,0,0,1,4,1
20611305A,85,25.95031929,,,M,1,0,45,1,0,0,1,7,1
20611467J,2,413.3459473,7884,8.972717499,M,2,0,54,0,0,0,0,4,1
20611767F,36,83.53128052,41000,10.62135174,R,2,0,59,0,0,1,0,4,1
20611944L,33,27.29475403,35000,10.46313191,A,2,0,76,0,0,1,1,4,1
20612405C,103,695.3408203,,,A,3,0,23,1,0,1,1,7,1
20616231G,103,414.8196411,50000,10.81979828,M,3,0,49,1,0,1,1,4,2
20616436K,103,625.6477661,120000,11.69525536,R,3,2,26,1,0,1,1,7,1
20618026P,88,102.2126312,32000,10.37352243,M,1,0,54,0,0,0,0,4,1
20618429H,35,50.51172257,70000,11.15626481,A,2,0,59,0,0,1,1,7,1
20620991L,94,20.2049942,120000,11.69525536,M,2,0,58,1,0,1,1,6,1
20622837C,103,327.8374634,48000,10.77897712,M,1,0,44,1,0,1,0,6,1
20623044B,101,105.365242,85000,11.3504183,M,2,2,48,0,0,1,1,6,3
20623875J,92,58.86876679,,,A,1,0,63,0,0,1,1,6,1
20629041A,32,105.9409714,1800,7.496097345,S,2,0,78,1,0,1,1,4,1
20629523J,46,91.8034668,75000,11.22525673,M,1,0,48,0,0,1,1,4,1
20630521B,72,170.906601,17000,9.741027445,S,2,0,55,1,1,1,1,4,1
20635075K,81,460.3904114,60000,11.00211651,S,4,0,51,0,0,1,1,4,1
20636034A,44,100.6437073,65000,11.08215793,M,2,0,45,1,0,1,1,4,1
20639217C,34,71.57474518,34000,10.43414522,A,2,2,27,1,0,0,1,6,1
20640675F,71,307.8000488,,,M,2,0,71,0,0,1,1,4,1
20641417E,71,500.6044617,,,M,2,1,43,0,0,1,1,4,1
20643991R,44,414.9213562,50000,10.81979828,M,1,0,60,0,0,1,1,4,1
20646509H,20,67.8631897,,,S,2,0,60,1,0,1,1,4,1
20654293G,101,145.3497772,30000,10.30898599,M,3,0,75,0,0,1,1,2,3
20656783L,17,194.9204559,65000,11.08215793,R,3,0,59,1,0,1,1,3,1
20656862B,97,51.72082138,11736,9.370501524,M,1,0,67,1,0,1,0,4,2
20657902B,2,695.3408203,,,M,4,2,23,1,0,1,1,6,1
20658301J,78,100.5471649,19000,9.852246888,A,1,0,28,1,0,1,0,6,1
20659441J,81,73.38684845,85000,11.3504183,S,2,0,51,1,0,1,1,6,1
20662492B,24,33.49134445,14400,9.575052928,S,2,2,36,1,1,1,0,4,3
20662927C,39,210.5739899,,,R,2,0,86,1,0,1,1,3,1
20663179F,97,46.67905045,,,M,1,0,65,0,0,1,1,7,2
20664674J,28,275.9182739,22800,10.03455967,S,2,0,73,1,0,1,1,3,1
20665402J,77,126.8488998,,,M,2,0,51,1,0,1,1,8,1
20666172C,93,140.1309357,110000,11.60824474,M,2,2,41,1,0,1,1,8,1
20667332G,77,42.71372986,,,M,1,0,71,1,0,1,1,7,1
20667539F,85,547.5772705,18000,9.798182591,M,1,1,18,1,0,1,1,3,1
20668837K,13,234.514679,60000,11.00211651,A,5,0,47,0,0,1,1,4,1
20669116B,99,36.51722336,,,M,2,0,66,1,0,1,1,7,1
20673476L,90,71.44396973,,,A,1,0,77,1,0,1,0,4,2
20673775E,103,413.8050842,2400,7.783640596,M,1,0,22,1,1,1,0,4,2
20676067K,91,93.07408905,5000,8.517393171,M,1,0,52,1,1,1,0,2,1
20679123H,103,774.3040161,,,M,4,0,21,0,0,1,1,4,1
20690312B,103,774.3040161,13000,9.472781557,M,1,0,20,0,0,1,1,4,1
20691170C,70,77.10158539,90000,11.40757606,R,2,1,50,0,0,1,1,7,1
20696623H,68,143.7165985,20000,9.903537551,A,2,0,51,0,1,1,1,2,1
20701000A,103,380.3225708,,,M,1,0,40,0,1,1,0,4,2
20702427F,17,126.6043015,38000,10.54536775,R,2,0,65,0,0,1,0,4,1
20703888K,51,125.3918228,,,M,1,0,52,0,0,1,1,5,1
20703959L,65,356.2597656,31000,10.34177474,M,1,0,43,0,0,1,1,4,1
20707473C,23,16.50026131,,,R,1,0,71,1,0,1,1,4,1
20708721B,99,142.1047669,18000,9.798182591,M,1,0,44,1,0,1,0,6,1
20709166E,53,10.55553913,28000,10.2399955,A,2,0,62,1,0,1,1,6,1
20710134H,61,107.4571075,10044,9.214830277,A,2,0,62,0,0,1,1,3,1
20710581Y,44,295.4046631,,,M,2,0,73,1,0,1,1,6,1
20710696L,61,21.67204475,48000,10.77897712,A,3,0,59,1,0,1,1,6,1
20711124C,41,67.05057526,7788,8.960467761,A,1,1,61,1,1,1,1,3,1
20711212K,33,59.72839737,72000,11.18443529,A,2,1,36,0,0,1,1,4,1
20714553G,96,77.14997101,30000,10.30898599,M,1,0,72,1,1,1,1,4,2
20714733L,10,16.71934509,25000,10.1266711,A,2,0,58,1,0,0,1,5,1
20720345B,41,67.26637268,31000,10.34177474,A,1,0,31,1,0,1,1,4,1
20720758E,44,96.35273743,162000,11.99535779,M,2,2,45,0,0,1,1,4,1
20721185F,45,103.1018982,200000,12.20607765,S,2,1,32,1,0,1,1,8,1
20721549F,53,9.564600945,,,A,2,0,81,1,0,1,1,5,1
20722840J,44,55.47891235,65000,11.08215793,M,2,4,40,1,0,1,1,8,1
20724320F,93,58.62978745,0,0,M,1,0,71,0,0,1,1,7,2
20729035F,83,540.1641846,23500,10.06479825,M,3,0,57,1,0,1,0,6,1
20729489J,93,30.88867378,12000,9.392745259,M,1,0,55,1,0,1,0,4,3
20731415L,85,57.58802414,25000,10.1266711,M,1,0,45,0,0,1,0,5,2
20731956G,100,87.36170197,35000,10.46313191,M,2,0,81,0,0,1,1,3,1
20734061G,100,12.17755127,2350,7.762596049,M,1,0,53,1,1,1,0,4,1
20736912A,73,38.09213638,42000,10.64544871,A,2,0,61,0,0,1,1,7,1
20738777G,40,672.465271,12000,9.392745259,S,1,0,70,1,0,1,1,3,1
20742964H,44,66.2543335,,,M,2,0,71,1,0,1,1,5,1
20745796F,103,665.0667114,18000,9.798182591,M,2,2,18,1,1,1,1,4,1
20746888U,85,354.4888001,,,M,2,4,30,1,0,1,0,6,2
20750860H,93,215.9551392,35000,10.46313191,M,2,0,31,1,0,1,1,8,1
20753263A,44,52.10242462,,,M,2,0,60,1,0,1,1,4,1
20759435B,59,113.5589829,58000,10.96821553,A,2,0,49,0,0,1,1,4,1
20759778G,47,57.25825882,,,R,2,0,75,1,0,1,1,4,1
20761274B,69,45.75823212,750000,13.52782982,R,2,0,58,1,0,1,1,7,1
20761321H,92,86.50776672,10800,9.287394001,M,1,0,77,1,1,1,0,4,1
20762021C,19,161.7515869,110000,11.60824474,R,2,1,27,0,0,1,1,6,1
20762068B,13,112.7267609,90000,11.40757606,A,2,2,37,0,0,1,1,7,1
20762723B,15,175.5264587,50000,10.81979828,A,2,2,44,1,0,1,1,4,1
20763732K,13,110.6777191,,,A,2,0,46,1,0,1,0,4,1
20769716F,98,51.47759247,70000,11.15626481,M,1,1,42,1,0,1,1,8,1
20771250C,63,74.35805512,96000,11.47211389,R,3,0,52,1,0,1,1,4,1
20773527G,85,19.60198784,,,M,1,0,51,1,0,1,0,6,2
20775334B,87,59.11935806,,,M,1,0,68,1,0,1,1,4,2
20779484J,99,54.223423,500000,13.12236538,M,2,2,53,1,0,1,1,8,1
20781481B,23,53.11423874,20000,9.903537551,R,1,0,43,0,0,0,0,8,1
20782742H,57,34.73639298,21000,9.952325335,R,2,0,66,0,1,1,0,4,1
20783759J,25,47.35811615,42000,10.64544871,A,2,0,54,1,0,1,1,4,1
20785214G,59,16.93263245,85000,11.3504183,A,3,0,29,0,0,1,1,8,3
20785678G,87,72.96996307,30000,10.30898599,M,1,0,57,1,0,1,0,5,1
20786449C,89,62.78323746,25000,10.1266711,M,1,0,66,0,1,1,1,4,1
20791381L,82,21.79047775,,,R,1,0,64,0,0,1,1,5,1
20793518G,41,17.4997654,12000,9.392745259,A,1,0,55,1,0,0,1,4,3
20794122B,28,17.65627289,56000,10.93312483,A,2,4,47,1,0,1,1,4,1
20794162L,35,23.60243797,12000,9.392745259,A,1,0,81,1,0,1,0,4,1
20795244E,103,319.5265198,45000,10.71443999,M,2,0,52,1,0,1,1,4,1
20801354E,19,35.67472839,30000,10.30898599,R,2,0,76,1,0,1,1,5,1
20801969L,103,672.5928955,11000,9.305741457,M,1,0,30,1,1,1,0,5,1
20804877A,15,35.47993469,7644,8.941807118,A,1,0,58,0,1,1,0,5,1
20805983J,57,81.5112915,207000,12.2404789,R,2,2,49,1,0,1,1,4,1
20806340L,98,96.68924713,30000,10.30898599,M,2,0,62,1,0,1,1,4,1
20807501G,89,118.7798386,9336,9.141740281,M,1,0,74,1,1,1,0,4,1
20809938L,1,14.23032188,45000,10.71443999,A,2,1,56,1,0,1,1,4,1
20810858F,28,120.1058273,20000,9.903537551,A,3,0,57,0,0,1,1,5,1
20811724G,46,98.03968048,,,M,3,0,66,1,0,1,1,6,1
20813918F,44,47.01010895,13224,9.489864257,M,1,2,36,1,0,1,0,4,1
20814735F,91,73.73227692,4000,8.294299609,M,1,1,54,1,0,1,0,3,2
20816452K,34,26.97055244,,,A,1,0,52,0,0,1,1,5,1
20817443J,92,273.8384399,55000,10.91510665,M,1,0,31,1,0,1,0,8,1
20819257F,23,29.87568474,,,R,1,0,61,1,0,1,0,4,1
20821089H,77,191.6135407,115000,11.6526961,A,3,1,43,1,0,1,1,7,1
20822142L,68,70.1685791,,,A,1,0,59,0,0,1,1,4,1
20822217C,44,190.1494598,,,M,1,0,76,0,0,1,1,3,1
20825002B,85,164.8729553,170000,12.0435596,M,2,2,40,1,0,1,1,8,2
20825891E,9,551.7978516,,,M,3,1,25,1,0,0,0,4,1
20827907E,46,136.8857422,,,M,3,1,52,0,0,1,1,6,1
20828494G,87,38.01922607,33000,10.40429314,M,1,0,77,1,0,1,1,8,1
20829718B,5,45.56056976,0,0,A,1,0,48,1,0,0,1,4,1
20830285H,98,52.20881653,125000,11.73607702,M,2,1,51,1,0,1,1,6,1
20832075J,94,55.9486618,70000,11.15626481,M,2,3,34,1,0,1,1,8,1
20833092G,47,98.95155335,,,R,2,0,75,1,0,1,1,8,1
20833419H,13,61.97988892,136000,11.82041752,A,2,0,46,1,0,1,1,6,1
20833952K,80,774.3040161,65000,11.08215793,R,4,0,24,0,0,1,1,6,1
20834372P,44,192.7081451,120000,11.69525536,M,2,0,55,1,0,1,1,8,1
20835670G,30,83.87537384,18624,9.832260043,R,1,0,68,1,0,1,1,2,1
20836135A,9,187.38797,33000,10.40429314,M,2,1,54,0,0,1,1,7,1
20838998L,13,49.29851151,11400,9.34145635,A,1,0,69,1,0,1,0,4,1
20839265L,12,123.6049728,12708,9.450065683,S,1,0,80,1,0,1,0,4,1
20843773F,103,774.3040161,10000,9.210440367,M,1,0,23,0,0,0,0,7,1
20844229G,16,44.52761459,70000,11.15626481,A,2,1,45,1,0,1,1,4,1
20844629B,49,18.27467156,130000,11.77529742,A,2,0,55,0,0,1,1,6,1
20848844A,41,59.81047058,14000,9.546884035,A,1,0,59,0,0,0,1,5,1
20848926B,79,50.40680695,25000,10.1266711,R,1,0,55,0,0,1,1,7,1
20850650A,44,55.47891235,72000,11.18443529,M,2,2,39,1,0,0,1,8,1
20851590C,87,382.9762268,78000,11.26447693,M,4,2,47,0,0,1,1,7,1
20855779G,87,173.4950867,23000,10.04329297,M,1,0,84,1,0,1,1,3,1
20857197G,98,171.8981934,100000,11.51293547,M,2,1,42,0,0,1,1,8,1
20858293G,73,88.22701263,18000,9.798182591,A,1,0,25,1,0,0,0,5,1
20871048A,98,34.63951874,,,M,1,0,75,1,0,1,1,4,1
20871182L,13,56.16130829,20000,9.903537551,A,2,0,83,1,0,1,1,6,1
20871443B,84,20.73122215,,,M,1,1,68,1,0,1,1,8,2
20872617E,4,249.1085053,,,R,4,0,95,1,0,1,1,4,1
20875026C,30,68.80396271,92000,11.42955473,R,2,0,55,0,0,1,1,7,1
20877576K,72,673.3848877,63000,11.05090588,S,3,1,40,0,0,1,1,4,1
20879778K,48,672.4023438,85000,11.3504183,S,4,2,55,0,0,1,1,7,1
20885334J,72,101.4545212,,,S,1,0,85,1,0,1,1,4,1
20885454A,100,7.655283928,22000,9.998843186,M,1,0,70,0,0,1,1,8,2
20888006F,36,22.92028618,24000,10.08585078,R,1,0,68,1,0,1,1,5,1
20888657H,77,104.7048721,38500,10.55843949,R,1,0,30,1,0,1,1,8,1
20890874C,91,575.779419,,,M,2,0,52,0,0,0,1,4,2
20891254J,82,15.13511753,35000,10.46313191,R,1,0,70,1,0,1,0,4,1
20891291W,88,90.72934723,,,M,2,2,40,1,0,1,1,7,1
20894967G,90,695.3408203,77000,11.25157369,M,2,2,23,1,0,1,1,4,1
20895662H,85,29.13764763,20000,9.903537551,M,1,0,50,1,0,1,0,5,2
20895696L,77,135.8836975,98000,11.49273296,R,2,3,40,1,0,1,1,6,1
20896598L,71,178.0242767,32000,10.37352243,M,1,3,30,1,0,1,0,5,2
20901320L,23,29.87568474,2400,7.783640596,R,1,0,57,1,0,0,0,4,1
20901814L,78,209.2321625,,,A,2,0,50,1,0,1,0,3,1
20908388H,94,56.96535492,30000,10.30898599,M,3,3,35,1,0,0,1,5,2
20912310C,42,267.711792,,,S,1,0,37,0,1,1,0,4,1
20912745F,60,44.15236282,,,S,1,0,58,1,0,1,1,4,1
20913504K,91,126.3725052,24000,10.08585078,M,1,3,49,1,0,0,0,7,2
20914249J,78,31.09190178,50000,10.81979828,A,1,0,80,1,0,1,1,5,1
20914863J,44,37.85290527,65000,11.08215793,M,2,0,62,1,0,1,1,6,1
20918822K,83,672.4998169,35000,10.46313191,M,3,0,40,1,0,0,0,4,1
20923252J,71,690.4515381,4032,8.302265795,M,1,0,19,1,1,1,0,3,1
20924666G,67,50.81239319,48000,10.77897712,R,2,0,77,1,0,1,1,7,1
20926581B,62,48.49342728,,,A,2,0,75,1,0,1,1,7,1
20934976H,97,64.87279511,7644,8.941807118,M,1,0,66,1,1,1,0,3,2
20936660A,63,39.12185669,30000,10.30898599,R,2,0,74,1,0,1,0,5,1
20937992J,7,9.012695313,9240,9.131405384,A,1,0,70,0,1,1,0,5,1
20938258J,15,233.3651733,,,A,2,0,59,0,0,1,1,4,1
20942454C,7,193.4368591,,,A,4,1,55,1,0,1,1,6,1
20943103A,99,145.8916168,,,M,1,0,21,1,0,1,0,4,2
20946911C,9,49.8746376,28320,10.25135886,M,1,0,65,1,0,1,1,6,1
20948121E,46,24.37397194,11000,9.305741457,R,1,0,55,0,0,1,1,5,1
20949538A,99,222.7723084,70000,11.15626481,M,2,2,34,0,0,1,1,7,1
20950915E,51,260.644043,48000,10.77897712,S,3,0,69,1,0,1,1,4,1
20953396J,78,68.62634277,160000,11.98293534,A,2,0,63,1,0,1,1,8,1
20955769J,74,93.86405182,14000,9.546884035,S,2,0,44,0,0,1,1,8,1
20956854J,83,147.1570435,75000,11.22525673,M,1,0,56,1,0,1,1,8,1
20963303C,103,197.7372437,,,R,2,0,59,1,0,1,0,7,1
20965540G,84,285.1277161,35000,10.46313191,M,2,0,56,1,0,0,1,4,2
20966355C,74,290.5697022,25200,10.13463896,S,1,0,78,1,0,1,1,3,1
20968483C,46,42.96493149,64000,11.06665399,M,1,0,57,1,0,1,1,4,2
20968896F,69,77.89105225,90000,11.40757606,R,2,0,53,0,0,1,1,5,1
20971613J,86,194.8935547,,,M,1,0,78,1,0,1,0,4,2
20971631G,46,56.24938202,,,M,2,2,44,0,0,1,1,5,3
20972148B,60,98.94387817,7176,8.878636747,S,1,0,75,1,0,1,1,3,1
20973989J,17,49.87669373,45000,10.71443999,R,2,0,65,0,0,1,1,7,1
20976560L,44,17.14966393,,,M,2,0,66,1,0,1,1,6,1
20976765C,91,44.45001984,,,M,1,0,76,1,0,1,0,4,1
20976816L,98,222.3386841,7000,8.853808275,M,1,0,65,1,0,1,0,5,3
20977470A,9,65.16447449,45000,10.71443999,M,2,1,21,0,0,0,0,4,3
20977929J,92,318.1513672,,,M,2,0,58,0,0,1,1,5,1
20978146E,51,59.32735443,20000,9.903537551,S,1,0,85,1,0,1,1,6,1
20981442F,100,16.79669571,,,M,2,0,58,1,0,1,1,8,1
20984153H,46,87.5423584,65000,11.08215793,M,2,0,79,0,0,1,1,6,1
20984396B,6,45.5969696,0,0,S,2,0,80,1,0,1,1,4,1
20987119G,55,536.1528931,747600,13.52462469,A,1,0,37,0,1,1,0,3,1
20988340A,64,60.09071732,,,R,2,0,55,0,0,1,1,7,1
20989220A,57,79.95722961,120000,11.69525536,R,2,2,39,1,0,1,1,8,1
20991234C,73,687.0886231,55000,10.91510665,A,2,2,31,0,0,1,1,3,1
20991364C,83,687.0886231,65000,11.08215793,M,2,2,25,0,0,1,1,7,1
20991555H,84,17.6896019,35000,10.46313191,M,1,0,44,1,0,1,1,6,3
20992823L,103,695.3408203,,,S,1,0,20,1,0,1,0,5,1
20994344J,78,155.0062256,47000,10.75792416,A,2,3,33,1,0,1,1,5,1
20997269H,71,119.7784958,,,M,2,0,55,1,0,1,1,7,1
20997705J,32,31.68897057,86000,11.3621142,R,1,0,51,0,0,1,1,8,1
21001293A,2,72.82842255,,,M,2,0,75,1,1,1,1,4,1
21002247A,66,695.3408203,50000,10.81979828,A,3,1,24,1,0,0,1,6,1
21002459B,57,71.87089539,75000,11.22525673,R,2,0,68,0,0,1,1,7,1
21002582A,103,217.279953,15000,9.615872145,M,1,0,63,0,0,0,0,5,1
21004233J,13,499.2424011,,,M,2,1,30,1,0,1,1,8,1
21009028C,84,52.10850525,50000,10.81979828,M,1,0,70,0,0,1,1,5,1
21010266C,100,11.31238365,,,M,1,0,44,1,0,0,0,5,2
21013674K,88,212.2761231,20000,9.903537551,M,2,0,54,0,0,1,1,3,2
21018821J,30,59.24120331,100000,11.51293547,R,2,2,41,1,0,1,1,7,1
21018966L,43,90.21296692,100000,11.51293547,R,2,0,45,0,0,1,1,7,1
21019373H,23,8.821684837,,,R,1,1,76,1,1,1,1,5,1
21020289C,99,774.3040161,,,M,1,0,21,0,0,0,1,3,1
21020364C,6,354.2216492,,,S,3,0,43,1,0,1,1,3,1
21023036L,8,8.128583908,7800,8.96200721,A,1,0,69,1,1,1,0,4,1
21024986K,56,28.33469963,80000,11.28979441,A,2,0,72,0,0,1,0,5,1
21028670K,97,24.60852623,8000,8.987321813,M,1,0,54,0,1,1,1,5,2
21030041L,100,31.05579186,6480,8.776630098,M,1,0,68,1,0,1,0,3,1
21039994B,41,59.81047058,,,A,1,0,61,0,0,1,1,6,1
21040506K,84,155.2530823,50000,10.81979828,M,1,0,60,1,0,1,0,7,1
21040573Y,98,82.93371582,15000,9.615872145,M,1,2,40,1,1,1,1,4,1
21041362E,85,301.890564,28000,10.2399955,M,2,0,58,0,0,0,1,4,2
21043359E,32,39.72429276,49000,10.79959599,R,2,0,61,1,0,1,0,5,1
21046201F,81,230.1952057,,,S,2,0,57,0,0,1,1,4,1
21051728H,73,82.8860321,85000,11.3504183,A,2,0,52,1,0,1,1,4,1
21051824E,5,87.84527588,,,A,2,0,81,1,0,1,1,4,1
21054915J,69,87.3943634,60000,11.00211651,R,2,0,70,0,0,1,1,4,1
21061897K,39,45.29382706,15000,9.615872145,R,1,0,75,1,0,1,1,4,1
21062650F,98,247.6267853,17000,9.741027445,M,3,0,47,1,0,1,1,3,1
21063135E,87,532.8186035,170000,12.0435596,M,2,0,35,0,0,1,0,8,1
21063946G,71,144.2237091,,,M,3,0,56,0,1,1,1,5,1
21064910L,8,21.31420898,,,A,2,0,66,0,0,1,1,8,1
21065652L,21,62.84828949,60000,11.00211651,R,2,0,57,1,0,1,1,7,1
21069132R,83,213.1757507,40000,10.59665973,M,1,0,72,0,0,1,1,5,1
21070011H,46,65.35978699,,,M,2,0,66,1,0,1,1,6,1
21073983B,12,155.4006805,40000,10.59665973,S,2,0,52,1,0,1,1,6,1
21074067B,44,98.43881989,14400,9.575052928,M,1,0,68,0,0,1,1,3,1
21079306K,32,51.40296936,85000,11.3504183,R,2,2,31,1,0,1,1,7,1
21079946A,77,103.3604126,60000,11.00211651,R,3,0,59,1,0,1,1,6,1
21081100G,46,350.9814148,10000,9.210440367,M,1,0,44,0,1,1,0,3,2
21081567F,30,36.62532806,89000,11.39640289,R,2,0,68,1,0,1,1,7,1
21084843F,67,214.1111755,36000,10.491302,R,3,0,53,0,0,1,1,4,1
21085200H,83,687.0886231,50000,10.81979828,M,3,0,33,0,0,1,1,4,1
21085996A,30,25.91111946,,,R,1,0,82,1,0,1,1,4,1
21086648J,91,105.0388031,100000,11.51293547,M,2,0,42,1,0,1,1,8,2
21088534G,13,106.4870148,0,0,A,1,0,43,1,0,0,1,3,1
21091483F,41,31.83796501,21600,9.980494889,A,1,0,70,1,0,1,1,8,1
21092333E,103,662.4024658,,,M,2,1,51,1,0,1,0,3,1
21093470F,17,184.7756043,35000,10.46313191,R,2,3,27,1,0,0,0,4,1
21093948C,77,127.6137085,,,R,2,0,57,1,0,1,1,4,1
21095042L,83,672.4023438,70000,11.15626481,S,2,0,52,0,0,1,1,7,1
21100161A,59,90.4216919,35000,10.46313191,A,2,3,31,1,1,1,1,4,1
21100226H,89,311.4562683,130000,11.77529742,M,2,0,86,0,0,1,1,5,1
21102857A,97,50.34046173,,,M,1,0,76,0,0,1,1,8,2
21105639E,7,246.1920776,24000,10.08585078,A,2,0,50,0,0,1,1,4,1
21107661H,75,30.34489822,80000,11.28979441,R,2,0,68,1,0,1,1,4,1
21108426K,103,591.2738648,15000,9.615872145,M,4,0,79,1,0,1,1,3,1
21110057L,71,439.6650696,65000,11.08215793,M,3,0,38,0,0,1,1,5,1
21111746G,92,242.6430512,,,M,3,1,48,1,0,1,1,5,2
21114674A,14,61.72916031,65000,11.08215793,R,2,0,58,1,0,1,1,4,1
21116273J,16,82.34468079,,,A,2,1,52,0,0,1,1,4,1
21120904E,7,199.69133,30000,10.30898599,A,3,0,53,1,0,1,1,4,1
21125617J,103,287.8439331,70000,11.15626481,M,2,0,26,0,0,1,0,5,4
21130209C,13,167.6917419,70000,11.15626481,A,1,0,54,0,0,1,0,6,1
21132227H,103,618.1795654,,,M,2,0,42,0,0,1,1,6,2
21133277F,67,18.46557617,8000,8.987321813,R,1,0,53,0,1,1,0,7,1
21137394A,47,35.5908699,100000,11.51293547,A,2,0,58,0,1,1,1,7,1
21138114L,21,66.70715332,,,R,1,0,84,0,1,1,1,4,2
21139664C,84,329.4414673,,,M,2,0,63,1,0,1,1,4,1
21140422A,71,137.1648407,35000,10.46313191,M,1,0,52,0,0,1,1,5,1
21142250E,18,45.24952316,,,R,2,0,79,0,1,1,1,2,1
21144021E,36,59.55499268,85000,11.3504183,R,2,0,49,1,0,1,1,7,1
21145078C,35,38.24838257,26000,10.16589028,A,2,1,48,0,0,1,1,8,1
21145679L,100,43.68085098,16800,9.729193687,M,1,0,74,0,0,1,1,3,1
21149339H,46,647.8685303,22800,10.03455967,M,3,0,32,1,0,0,0,3,2
21152190L,25,8.417368889,30000,10.30898599,A,1,0,68,0,1,1,1,4,1
21153661L,98,102.9196777,40000,10.59665973,M,1,0,29,1,0,1,0,5,1
211569246,103,317.9895935,,,M,1,0,39,1,0,0,0,7,1
21159946G,42,217.2057953,,,S,1,0,48,0,0,1,1,6,1
21160231A,28,23.51930428,35000,10.46313191,A,1,0,55,1,0,1,1,5,1
21162037H,47,281.2878418,65000,11.08215793,R,2,2,32,1,0,1,1,4,1
21168093F,103,774.3040161,24000,10.08585078,M,1,0,21,0,0,1,0,5,1
21169665H,78,34.31317139,100000,11.51293547,A,1,3,45,1,0,1,1,8,1
21170991C,66,70.47853088,50000,10.81979828,A,2,0,65,1,0,1,1,8,1
21171876J,81,187.3819885,85000,11.3504183,S,3,0,52,0,0,1,1,5,1
21174368A,97,60.19384384,7800,8.96200721,M,2,0,68,1,1,1,0,4,2
21174734E,18,30.77136612,80000,11.28979441,R,2,0,92,1,0,1,1,6,1
